"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance"
"ENSG00000268903",12.6289996649994,-0.636833814343935,0.61504959364343,-1.03541864091229,0.30047344391309,0.999975617694874,"Not Significant"
"ENSG00000269981",19.5662614843274,-1.00623779675582,0.629735277125672,-1.59787427083431,0.110070961212851,0.999975617694874,"Not Significant"
"ENSG00000241860",9.66236275412538,-0.85701456921565,0.528234059103722,-1.62241444762154,0.104714637734951,0.999975617694874,"Not Significant"
"ENSG00000279457",6.45028711960334,-0.321656616049524,0.527435610999124,-0.609850016460224,0.541961165611023,0.999975617694874,"Not Significant"
"ENSG00000228463",3.02365550984204,-0.110980723083782,0.670951625714241,-0.16540793528243,0.868622908255414,0.999975617694874,"Not Significant"
"ENSG00000237094",2.36053704985143,-0.145371115544198,0.832168423245539,-0.174689535775987,0.861323590582443,0.999975617694874,"Not Significant"
"ENSG00000225972",10.035456007053,-0.216108161604754,0.512797476665434,-0.42142984596968,0.673441228910028,0.999975617694874,"Not Significant"
"ENSG00000225630",1102.3910457291,-0.185993928277196,0.436125297229821,-0.426469020390681,0.669766117375148,0.999975617694874,"Not Significant"
"ENSG00000237973",217.652175746727,-1.28142438267369,0.447153878585619,-2.86573469233215,0.00416042757191201,0.407738281683487,"Not Significant"
"ENSG00000229344",52.6101046454058,-0.61218972740482,0.418929409387679,-1.46131952946349,0.143927772793254,0.999975617694874,"Not Significant"
"ENSG00000248527",1727.56814711531,-0.428944836709725,0.357933539267573,-1.19839240990788,0.230764285930299,0.999975617694874,"Not Significant"
"ENSG00000198744",7.1852825546138,-0.607210142082725,0.549891132457073,-1.10423701391498,0.269490337349583,0.999975617694874,"Not Significant"
"ENSG00000228327",23.9780989750751,-0.173679549149966,0.449095392780559,-0.386731977085391,0.698954640350579,0.999975617694874,"Not Significant"
"ENSG00000237491",40.5111460502697,0.191086627153117,0.366159964662095,0.521866521724893,0.601763269291911,0.999975617694874,"Not Significant"
"ENSG00000230092",9.40439409751745,-0.408614433500024,0.468368713489471,-0.872420428033584,0.382979060250318,0.999975617694874,"Not Significant"
"ENSG00000228794",107.44930189587,-0.0390200068739648,0.360918847508644,-0.108112965402923,0.913906083534346,0.999975617694874,"Not Significant"
"ENSG00000225880",15.8836589741818,0.66090915352168,0.417856523890234,1.58166527440719,0.11372600409453,0.999975617694874,"Not Significant"
"ENSG00000230699",10.327516207804,-0.0325929529198937,0.609898830122575,-0.0534399334941227,0.957381388326214,0.999975617694874,"Not Significant"
"ENSG00000223764",18.4836045871979,-0.0666052170483833,0.558072350830367,-0.119348713386858,0.904999091563069,0.999975617694874,"Not Significant"
"ENSG00000187634",24.5120041957581,-0.158623416081751,0.490436803960008,-0.323432937334544,0.746367388456113,0.999975617694874,"Not Significant"
"ENSG00000188976",359.090464657887,0.0777688550220371,0.270399204268111,0.287607558729819,0.773647158226731,0.999975617694874,"Not Significant"
"ENSG00000187961",77.3520457013212,-0.332847564081647,0.402882376948794,-0.826165608439982,0.408710154421531,0.999975617694874,"Not Significant"
"ENSG00000187583",56.0970582102825,0.300837327887709,0.489610923249752,0.614441618031979,0.53892354128923,0.999975617694874,"Not Significant"
"ENSG00000187642",4.52318372033222,-0.337282592245207,0.545895458024061,-0.617851984821498,0.536672912239752,0.999975617694874,"Not Significant"
"ENSG00000272512",39.9685364336139,-0.312990964241872,0.506082474301569,-0.61845841366829,0.536273202706491,0.999975617694874,"Not Significant"
"ENSG00000188290",35.4486552388434,0.0509809395643778,0.430144201187557,0.118520578502809,0.905655190724829,0.999975617694874,"Not Significant"
"ENSG00000187608",104.250152731516,0.0361542179728965,0.540451357822575,0.0668963403451483,0.946664226495549,0.999975617694874,"Not Significant"
"ENSG00000188157",1436.42663240877,-0.163635519142787,0.314480499373129,-0.520335980987597,0.602829421836191,0.999975617694874,"Not Significant"
"ENSG00000217801",13.8599406080465,-0.590109422088769,0.653298483034322,-0.903276890140531,0.366378958520818,0.999975617694874,"Not Significant"
"ENSG00000237330",8.19707729025598,-0.437206430842533,0.695170415459359,-0.628919788759469,0.529401570068069,0.999975617694874,"Not Significant"
